title,artist,isHot
die with a smile,lady gaga & bruno mars,True
a bar song tipsy,shaboozey,True
birds of a feather,billie eilish,True
lose control,teddy swims,True
apt,rose & bruno mars,True
that's so true,gracie abrams,True
luther,kendrick lamar & sza,True
i had some help,post malone featuring morgan wallen,True
espresso,sabrina carpenter,True
taste,sabrina carpenter,True
tv off,kendrick lamar featuring lefty gunplay,True
beautiful things,benson boone,True
love somebody,morgan wallen,True
too sweet,hozier,True
timeless,the weeknd & playboi carti,True
squabble up,kendrick lamar,True
good luck babe,chappell roan,True
sticky,"tyler, the creator featuring glorilla, sexyy red & lil wayne",True
stargazing,myles smith,True
not like us,kendrick lamar,True
whatchu kno about me,glorilla & sexyy red,True
30 for 30,sza with kendrick lamar,True
high road,koe wetzel & jessie murph,True
who,jimin,True
messy,lola young,True
please please please,sabrina carpenter,True
smile,morgan wallen,True
i am not okay,jelly roll,True
bmf,sza,True
million dollar baby,tommy richman,True
wind up missin' you,tucker wetmore,True
bed chem,sabrina carpenter,True
sailor song,gigi perez,True
lies lies lies,morgan wallen,True
wildflower,billie eilish,True
pink pony club,chappell roan,True
like him,"tyler, the creator featuring lola young",True
i never lie,zach top,True
liar,jelly roll,True
i'm gonna love you,cody johnson & carrie underwood,True
scorsese baby daddy,sza,True
tu boda,oscar maydon & fuerza regida,True
i love you i'm sorry,gracie abrams,True
it's ok i'm ok,tate mcrae,True
4x4xu,lainey wilson,True
no one noticed,the marias,True
good news,shaboozey,True
indigo,sam barber featuring avery anna,True
defying gravity,cynthia erivo featuring ariana grande,True
loco,neton vega,True
drive,sza,True
que pasaria,rauw alejandro & bad bunny,True
think i'm in love with you,chris stapleton,True
guy for that,post malone featuring luke combs,True
dancing in the flames,the weeknd,True
hey now,kendrick lamar featuring dody6,True
help me,real boston richey,True
residuals,chris brown,True
am i okay,megan moroney,True
diamond boy dtm,sza,True
i ain't sayin',jordan davis,True
what do i do,sza,True
heart of a woman,summer walker,True
another life,sza,True
bad dreams,teddy swims,True
no pole,don toliver,True
empty out your pockets,juice wrld,True
dos dias,tito double p & peso pluma,True
close to you,gracie abrams,True
popular,ariana grande,True
crybaby,sza,True
wacced out murals,kendrick lamar,True
diet pepsi,addison rae,True
apple,charli xcx,True
boys back home,dylan marlowe & dylan scott,True
25,rod wave,True
kitchen,sza,True
peekaboo,kendrick lamar featuring azchike,True
burning down,alex warren,True
disease,lady gaga,True
shake dat ass twerk song,bossman dlow,True
gang baby,nle choppa,True
khe,rauw alejandro & romeo santos,True
brokey,latto,True
rosones,tito double p,True
juno,sabrina carpenter,True
nadie,tito double p,True
what is this feeling,ariana grande & cynthia erivo,True
el club,bad bunny,True
dodger blue,"kendrick lamar featuring wallie the sensei, siete7x & roddy ricch",True
pitorro de coco,bad bunny,True
the largest,bigxthaplug,True
wondering why,the red clay strays,True
ends of the earth,ty myers,True
chill baby,sza,True
holy smokes,bailey zimmerman,True
high road,zach bryan,True
on one tonight,gunna,True
st chroma,"tyler, the creator featuring daniel caesar",True
cowboy songs,george birge,True
je sais que la terre est plate,rapha\xc3\xabl,False
on efface,julie zenatti,False
howells delight,the baltimore consort,False
martha served,i hate sally,False
zip-a-dee-doo-dah song of the south,orlando pops orchestra,False
liquid time composition by john goodsall,brand x,False
misery path from the privilege of evil,amorphis,False
nuovi re pt i i feat tek money - lady tambler,inoki,False
halloween,dead kennedys,False
parto em terras distantes,brigada victor jara,False
you eclipsed by me album version,atreyu,False
shovel,mistress,False
what drives the weak,shadows fall,False
life force,vanessa daou,False
the dance of europe,dave brockie experience,False
spoonie is back,spoonie gee,False
blood round dance song world,r. carlos nakai,False
crawling album version,linkin park,False
bennie,koffi olomid\xc3\xa9,False
playa del sous-sol,alain-fran\xc3\xa7ois,False
fascinating rhythm instrumental 2007 digital remaster,billy may & his orchestra,False
bi'm not moving,phil collins,False
grand frxc3xa8re,philippe sarde,False
up above my head,sister rosetta tharpe & marie,False
columbia,oasis,False
radar for love,kiss,False
antarctica starts here,john cale,False
