title,artist,isHot,popularity,album_popularity,genres
Die With A Smile,Lady Gaga,True,100,95,"['art pop', 'dance pop', 'pop']"
A Bar Song (Tipsy),Shaboozey,True,86,82,"['modern country pop', 'pop rap']"
BIRDS OF A FEATHER,Billie Eilish,True,97,100,"['art pop', 'pop']"
Lose Control,Teddy Swims,True,89,89,[]
APT.,ROSÉ,True,96,92,['k-pop']
That’s So True,Gracie Abrams,True,96,94,['alt z']
luther (with sza),Kendrick Lamar,True,90,99,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Espresso,Sabrina Carpenter,True,88,84,['pop']
Taste,Sabrina Carpenter,True,91,98,['pop']
Beautiful Things,Benson Boone,True,88,90,['singer-songwriter pop']
Love Somebody,Morgan Wallen,True,84,80,['contemporary country']
Too Sweet,Hozier,True,84,80,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']"
Timeless (with Playboi Carti),The Weeknd,True,92,88,"['canadian contemporary r&b', 'canadian pop', 'pop']"
squabble up,Kendrick Lamar,True,89,99,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
"Good Luck, Babe!",Chappell Roan,True,93,88,['indie pop']
Stargazing,Myles Smith,True,87,82,['singer-songwriter pop']
Not Like Us,Kendrick Lamar,True,88,84,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
WHATCHU KNO ABOUT ME (feat. Sexyy Red),GloRilla,True,81,82,['southern hip hop']
30 For 30 (with Kendrick Lamar),SZA,True,84,97,"['pop', 'r&b', 'rap']"
High Road (feat. Jessie Murph),Koe Wetzel,True,72,68,"['classic texas country', 'modern country pop']"
Who,Jimin,True,90,89,['k-pop']
Messy,Lola Young,True,87,83,['uk pop']
Please Please Please,Sabrina Carpenter,True,87,98,['pop']
Smile,Morgan Wallen,True,79,74,['contemporary country']
I Am Not Okay,Jelly Roll,True,76,80,"['country rap', 'modern country pop', 'nashville hip hop', 'tennessee hip hop']"
BMF,SZA,True,85,97,"['pop', 'r&b', 'rap']"
MILLION DOLLAR BABY,Tommy Richman,True,88,84,['chill abstract hip hop']
Wind Up Missin’ You,Tucker Wetmore,True,79,78,['modern country pop']
Bed Chem,Sabrina Carpenter,True,88,98,['pop']
Sailor Song,Gigi Perez,True,93,89,['bedroom pop']
Lies Lies Lies,Morgan Wallen,True,80,76,['contemporary country']
WILDFLOWER,Billie Eilish,True,92,100,"['art pop', 'pop']"
Pink Pony Club,Chappell Roan,True,85,94,['indie pop']
I Never Lie,Zach Top,True,79,83,['modern country pop']
