title,artist,isHot,popularity,album_popularity,genres,cluster
Die With A Smile,Lady Gaga,1,100,95,"['art pop', 'dance pop', 'pop']",2
A Bar Song (Tipsy),Shaboozey,1,86,82,"['modern country pop', 'pop rap']",2
BIRDS OF A FEATHER,Billie Eilish,1,97,100,"['art pop', 'pop']",2
APT.,ROSÉ,1,96,92,['k-pop'],2
That’s So True,Gracie Abrams,1,96,94,['alt z'],2
luther (with sza),Kendrick Lamar,1,90,99,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",2
Espresso,Sabrina Carpenter,1,88,84,['pop'],2
Taste,Sabrina Carpenter,1,91,98,['pop'],2
Beautiful Things,Benson Boone,1,88,90,['singer-songwriter pop'],2
Love Somebody,Morgan Wallen,1,84,80,['contemporary country'],2
Too Sweet,Hozier,1,84,80,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",2
Timeless (with Playboi Carti),The Weeknd,1,92,88,"['canadian contemporary r&b', 'canadian pop', 'pop']",2
squabble up,Kendrick Lamar,1,89,99,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",2
"Good Luck, Babe!",Chappell Roan,1,93,88,['indie pop'],2
Stargazing,Myles Smith,1,87,82,['singer-songwriter pop'],2
Not Like Us,Kendrick Lamar,1,88,84,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",2
WHATCHU KNO ABOUT ME (feat. Sexyy Red),GloRilla,1,81,82,['southern hip hop'],2
30 For 30 (with Kendrick Lamar),SZA,1,84,97,"['pop', 'r&b', 'rap']",2
High Road (feat. Jessie Murph),Koe Wetzel,1,72,68,"['classic texas country', 'modern country pop']",2
Who,Jimin,1,90,89,['k-pop'],2
Messy,Lola Young,1,87,83,['uk pop'],2
Please Please Please,Sabrina Carpenter,1,87,98,['pop'],2
Smile,Morgan Wallen,1,79,74,['contemporary country'],2
I Am Not Okay,Jelly Roll,1,76,80,"['country rap', 'modern country pop', 'nashville hip hop', 'tennessee hip hop']",2
BMF,SZA,1,85,97,"['pop', 'r&b', 'rap']",2
MILLION DOLLAR BABY,Tommy Richman,1,88,84,['chill abstract hip hop'],2
Wind Up Missin’ You,Tucker Wetmore,1,79,78,['modern country pop'],2
Bed Chem,Sabrina Carpenter,1,88,98,['pop'],2
Sailor Song,Gigi Perez,1,93,89,['bedroom pop'],2
Lies Lies Lies,Morgan Wallen,1,80,76,['contemporary country'],2
WILDFLOWER,Billie Eilish,1,92,100,"['art pop', 'pop']",2
Pink Pony Club,Chappell Roan,1,85,94,['indie pop'],2
I Never Lie,Zach Top,1,79,83,['modern country pop'],2
Liar,Jelly Roll,1,75,80,"['country rap', 'modern country pop', 'nashville hip hop', 'tennessee hip hop']",2
I'm Gonna Love You,Cody Johnson,1,69,64,"['classic texas country', 'contemporary country', 'modern country pop']",2
Scorsese Baby Daddy,SZA,1,81,97,"['pop', 'r&b', 'rap']",2
Tu Boda,Oscar Maydon,1,91,87,['corrido'],2
"I Love You, I'm Sorry",Gracie Abrams,1,89,89,['alt z'],2
It's ok I'm ok,Tate McRae,1,82,78,['pop'],2
No One Noticed,The Marías,1,86,86,"['bedroom pop', 'la indie']",2
Good News,Shaboozey,1,79,75,"['modern country pop', 'pop rap']",2
Loco,Neton Vega,1,81,77,['corrido'],2
Drive,SZA,1,79,97,"['pop', 'r&b', 'rap']",2
Qué Pasaría...,Rauw Alejandro,1,90,95,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",2
Think I'm In Love With You,Chris Stapleton,1,76,78,"['contemporary country', 'outlaw country']",2
Dancing In The Flames,The Weeknd,1,81,77,"['canadian contemporary r&b', 'canadian pop', 'pop']",2
Help Me,Real Boston Richey,1,69,65,"['florida drill', 'memphis hip hop']",2
Residuals,Chris Brown,1,70,76,"['r&b', 'rap']",2
Am I Okay?,Megan Moroney,1,75,78,"['contemporary country', 'modern country pop']",2
Diamond Boy (DTM),SZA,1,80,97,"['pop', 'r&b', 'rap']",2
I Ain't Sayin',Jordan Davis,1,73,69,['contemporary country'],2
What Do I Do,SZA,1,81,97,"['pop', 'r&b', 'rap']",2
Heart Of A Woman,Summer Walker,1,73,69,"['r&b', 'rap']",2
Another Life,SZA,1,80,97,"['pop', 'r&b', 'rap']",2
No Pole,Don Toliver,1,86,84,['rap'],2
Empty Out Your Pockets,Juice WRLD,1,84,89,"['chicago rap', 'melodic rap', 'rap']",2
DOS DÍAS,Tito Double P,1,88,97,['corrido'],2
Close To You,Gracie Abrams,1,82,83,['alt z'],2
Popular,Ariana Grande,1,84,93,['pop'],2
Crybaby,SZA,1,80,97,"['pop', 'r&b', 'rap']",2
wacced out murals,Kendrick Lamar,1,84,99,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",2
Diet Pepsi,Addison Rae,1,85,81,['social media pop'],2
Apple,Charli xcx,1,82,88,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']",2
Boys Back Home,Dylan Marlowe,1,57,59,['modern country pop'],2
25,Rod Wave,1,75,81,['florida rap'],2
Kitchen,SZA,1,80,97,"['pop', 'r&b', 'rap']",2
Burning Down (with Joe Jonas),Alex Warren,1,74,70,"['gen z singer-songwriter', 'singer-songwriter pop']",2
Disease,Lady Gaga,1,83,79,"['art pop', 'dance pop', 'pop']",2
Gang Baby,NLE Choppa,1,82,80,"['memphis hip hop', 'rap']",2
Khé?,Rauw Alejandro,1,88,95,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",2
Brokey,Latto,1,70,71,['trap queen'],2
ROSONES,Tito Double P,1,88,84,['corrido'],2
Juno,Sabrina Carpenter,1,86,98,['pop'],2
NADIE,Tito Double P,1,88,84,['corrido'],2
What Is This Feeling?,Ariana Grande,1,84,93,['pop'],2
EL CLúB,Bad Bunny,1,85,81,"['reggaeton', 'trap latino', 'urbano latino']",2
PIToRRO DE COCO,Bad Bunny,1,80,76,"['reggaeton', 'trap latino', 'urbano latino']",2
The Largest,BigXthaPlug,1,73,82,['southern hip hop'],2
Wondering Why,The Red Clay Strays,1,80,78,['modern country pop'],2
Chill Baby,SZA,1,78,97,"['pop', 'r&b', 'rap']",2
Holy Smokes,Bailey Zimmerman,1,75,71,"['contemporary country', 'modern country pop']",2
High Road,Zach Bryan,1,75,72,['classic oklahoma country'],2
on one tonight,Gunna,1,84,88,"['atl hip hop', 'melodic rap', 'rap', 'trap']",2
Cowboy Songs,George Birge,1,51,50,"['modern country pop', 'texas country']",2
On efface,Julie Zenatti,0,1,14,"['chanson', 'french pop']",2
Howells Delight,Anonymous,0,0,0,['medieval'],2
Martha Served,I Hate Sally,0,1,6,"['canadian metal', 'canadian post-hardcore', 'kingston on indie']",2
"Zip-a-Dee-Doo-Dah (From ""Song of the South"")",Orlando Pops Orchestra,0,0,1,['pops orchestra'],2
Misery Path - From the Privilege of Evil,Amorphis,0,7,27,"['finnish death metal', 'finnish melodeath', 'finnish metal', 'folk metal', 'gothic metal', 'melodic death metal', 'metal', 'power metal', 'progressive doom', 'symphonic metal', 'viking metal']",2
"Nuovi Re, Pt. I I (feat. Tek Money - Lady Tambler)",Inoki,0,6,28,"['italian hip hop', 'italian underground hip hop']",2
Halloween,Dead Kennedys,0,38,53,"['alternative rock', 'early us punk', 'hardcore punk', 'punk']",2
Parto em Terras Distantes,Brigada Victor Jara,0,0,1,"['fado', 'folclore portugues']",2
What Drives the Weak,Shadows Fall,0,33,41,"['alternative metal', 'boston metal', 'industrial metal', 'melodic metalcore', 'melodic thrash', 'metalcore', 'new england metal', 'nu metal']",2
Life Force,Vanessa Daou,0,1,8,['downtempo'],2
The Dance Of Europe,Dave Brockie Experience,0,4,20,['comedy rock'],2
Spoonie Is Back,Spoonie Gee,0,4,8,"['harlem hip hop', 'old school hip hop']",2
Up Above My Head I Hear Music In The Air,Sister Rosetta Tharpe,0,22,37,"['acoustic blues', 'gospel blues', 'traditional blues']",2
Columbia - Remastered,Oasis,0,44,66,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",2
